"id","uuid","code","common_name_en","common_name_fr","scientific_name","abbrev","tsn","aphia_id","strap_code","image","description_image","shrimp","invertebrate","created_at","updated_at","created_by_id","last_modified_by_id","is_invalid"
68,c4786f7c58ba48fb9eab17187f9c125b,68,Pink salmon,Saumon rose,Oncorhynchus gorbuscha,,,127182,,species_images_by_aphia_id/127182/127182_photo.jpg,"",0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:37.453706",,,0
69,"4c86590ec9644e7a97f2d13afea0dd7a",69,Rainbow trout,Truite arc-en-ciel,Oncorhynchus mykiss,,,127185,,species_images_by_aphia_id/127185/127185_photo.jpg,"",0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:40.083705",,,0
70,"614cc28051494d97a3a139a54517eaa7",70,Atlantic mackerel,Maquereau bleu,Scomber scombrus,,,127023,,species_images_by_aphia_id/127023/127023_photo.jpg,species_images_by_aphia_id/127023/127023_description.jpg,0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:42.453937",,9,0
71,"1532c8503dc54e01bb375977c814a792",71,Atlantic bluefin tuna,Thon rouge,Thunnus thynnus,,,127029,,species_images_by_aphia_id/127029/127029_photo.jpg,"",0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:01.542911",,,0
72,"1c6fb439d0c6445c9ed8cc640e6cb6b8",72,Swordfish,Espadon,Xiphias gladius,,,127094,,species_images_by_aphia_id/127094/127094_photo.jpg,"",0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:07.433635",,,0
74,"7d8045c72120487f8d653b8813f9f7f7",74,Banded rudderfish,Sériole à ceinture,Seriola zonata,,,159650,,species_images_by_aphia_id/159650/159650_photo.jpg,"",0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:17.103551",,,0
75,"01b9f7b64eba4bd79e5e5ff57146c9a2",75,Sea trout,Truite brune,Salmo trutta,,,127187,,species_images_by_aphia_id/127187/127187_photo.jpg,"",0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:00.331601",,,0
76,"5b958638f5dd402fb90e4dd05914c8b4",76,Arctic char,Omble chevalier,Salvelinus alpinus alpinus,,,293724,,species_images_by_aphia_id/293724/293724_photo.jpg,"",0,0,"2020-08-13 14:04:48.376","2022-07-25 17:55:59.8699",,,0
77,f0d1238941144f32ac45dcb3986c5d45,77,Brook trout,Truite mouchetée,Salvelinus fontinalis,,,154241,,species_images_by_aphia_id/154241/154241_photo.jpg,species_images_by_aphia_id/154241/154241_description.jpg,0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:41.878963",,,0
78,"1969d041b1f241b2b344660b81db89cd",78,Glasseye snapper,Beau claire de roche,Heteropriacanthus cruentatus,,,127004,,species_images_by_aphia_id/127004/127004_photo.jpg,"",0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:29.653721",,,0
80,"3ebb037225e54cf4b1168116973ac98a",80,Round scad,Comète quiaquia,Decapterus punctatus,,,126808,,species_images_by_aphia_id/126808/126808_photo.jpg,"",0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:27.584368",,,0
81,cd0c682453ab4784a1a17bf747311a7f,81,Bluefish,Tassergal,Pomatomus saltatrix,,,151482,,species_images_by_aphia_id/151482/151482_photo.jpg,"",0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:14.540318",,,0
82,d31b51d3d94f476790e28179ccc58845,82,Live sharksucker,Naucrate,Echeneis naucrates,,,126848,,species_images_by_aphia_id/126848/126848_photo.jpg,"",0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:45.367948",,,0
84,ff1c222eeced4b6a86d1b0f586858f3e,84,Shark sucker,Rémora noir,Remora remora,,,126853,,species_images_by_aphia_id/126853/126853_photo.jpg,"",0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:06.31476",,,0
86,"968e5fd2d78048d6a3e5e5eb58208047",86,Crevalle jack,Carangue crevallé,Caranx hippos,,,126803,,species_images_by_aphia_id/126803/126803_photo.jpg,"",0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:15.242488",,,0
87,"955c96f07cd349c8b7c3269ce3769b09",87,Mackerel scad,Faux-maquereau,Decapterus macarellus,,,126807,,species_images_by_aphia_id/126807/126807_photo.jpg,"",0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:37.871125",,,0
88,"60d9c2e6f33243b08cc2a1ea1f6e5fd1",88,Pilotfish,Fanfre,Naucrates ductor,,,126811,,species_images_by_aphia_id/126811/126811_photo.jpg,"",0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:22.794911",,,0
89,c4032e39210a4b3ea15b05d27b02408d,89,Bigeye scad,Sélar à grandes paupieres,Selar crumenophthalmus,,,159646,,species_images_by_aphia_id/159646/159646_photo.jpg,"",0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:42.747212",,,0
90,"63e6648163834a968a51966809c44b3d",90,Fish unidentified,Poisson non-identifié (toutes les ages et longueurs),"Unid. fish (larvae,juvenile and adults)",,,,,"90.jpg","",0,0,"2020-08-13 14:04:48.376","2020-12-14 13:31:55.895",,,0
91,a5016ac468a44cd285a31e8b4eba1ed5,91,Lookdown,Sélène Atlantique,Selene vomer,,,159649,,species_images_by_aphia_id/159649/159649_photo.jpg,"",0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:21.957588",,,0
92,"863b545b317a492bb6ec862fd557938f",92,Greater amberjack,Sériole couronnée,Seriola dumerili,,,126816,,species_images_by_aphia_id/126816/126816_photo.jpg,"",0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:34.245426",,,0
93,"0cb824cac4cb4e0b95829b8706ad7116",93,Atlantic horse mackerel,Chinchard,Trachurus trachurus,,,126822,,species_images_by_aphia_id/126822/126822_photo.jpg,"",0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:09.404499",,,0
94,b9064f9a32dc471094b1a5a43b84af22,94,Atlantic moonfish,Assiètte atlantique,Selene setapinnis,,,159647,,species_images_by_aphia_id/159647/159647_photo.jpg,"",0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:24.226731",,,0
96,"237776a2fbac43d08932b37e8958bb0c",96,Big-scale pomfret,Castagnole fauchoir,Taractichthys longipinnis,,,126788,,species_images_by_aphia_id/126788/126788_photo.jpg,"",0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:13.003691",,,0
97,"97f8659830404ec3b4b7a2399fef1457",97,Greenland manefish,Cariste du Groenland,Caristius fasciatus,,,873087,,species_images_by_aphia_id/873087/873087_photo.jpg,"",0,0,"2020-08-13 14:04:48.376","2022-07-25 17:56:22.449088",,,0
